"","Ticker","Security","Return","Volatility"
"234","ITW","Illinois Tool Works",0.00154378957589995,0.0123385534686785
"113","CMS","CMS Energy",0.00153997970296411,0.0108398805590991
"258","KIM","Kimco Realty",0.00152989946493358,0.0132033638831776
"472","VZ","Verizon Communications",0.00151271042052347,0.0111463314548735
"155","DUK","Duke Energy",0.00150055850580706,0.0107755696358261
"357","PM","Philip Morris International",0.00149300976731851,0.0100545684971506
"177","ES","Eversource Energy",0.00149169723592701,0.0112838942463821
"444","TWC","Time Warner Cable Inc.",0.00148881220628765,0.0112162667551753
"126","STZ","Constellation Brands",0.00148356852720047,0.0168114566169427
"337","NVDA","Nvidia Corporation",0.00147985824263954,0.0215624638621829
"210","GPC","Genuine Parts",0.00147704113618856,0.0134223466667415
"487","WU","Western Union Co",0.00146711127588715,0.0168192524781413
"190","FE","FirstEnergy Corp",0.00146030474656604,0.0166343560940573
"302","MCHP","Microchip Technology",0.00145720756211688,0.0171280339820958
"382","DGX","Quest Diagnostics",0.00144857763257647,0.0133107115647138
"289","MAS","Masco Corp.",0.00143499283626372,0.018954290508212
"377","PHM","Pulte Homes Inc.",0.00143114576270135,0.0206820586552015
"392","ROK","Rockwell Automation Inc.",0.00142545259299279,0.0160572977890483
"428","SYY","Sysco Corp.",0.00142312889456347,0.0129799365261437
"82","CVC","Cablevision Systems Corp.",0.00141427018553641,0.00855461096950459
"366","PPL","PPL Corp.",0.00140043142749216,0.011547481687156
"495","XEL","Xcel Energy Inc",0.00139145955266913,0.0107029152129488
"463","UHS","Universal Health Services, Inc.",0.00138666378075906,0.0191570125547027
"349","PNR","Pentair Ltd.",0.00138468537582992,0.0202501449056854
"30","AEE","Ameren Corp",0.00138311476412772,0.0120170628584138
"360","PXD","Pioneer Natural Resources",0.00137353492568956,0.0301763998119358
"429","TROW","T. Rowe Price Group",0.00136433388295942,0.0162852934825413
"322","NFX","Newfield Exploration Co",0.00135272006344713,0.0376785981818189
"405","SRE","Sempra Energy",0.00134526917154859,0.0142786021364766
"262","KHC","Kraft Heinz Co",0.0013390364344803,0.0133809303826481
"313","MSI","Motorola Solutions Inc.",0.00133047765182701,0.0145067711529924
"35","AMT","American Tower Corp A",0.0013238368890226,0.0153611685365983
"269","LEG","Leggett & Platt",0.0013083274571464,0.0138174500111746
"146","DISCK","Discovery Communications-C",0.00130701578410315,0.0205653353551201
"249","JNJ","Johnson & Johnson",0.00130353334622121,0.0106360126393022
"110","CTXS","Citrix Systems",0.00128646574689307,0.0215304063602825
"62","BCR","Bard (C.R.) Inc.",0.00127905931429441,0.0119231249983108
"202","GME","GameStop Corp.",0.0012766293634679,0.0223176088216555
"173","EQIX","Equinix",0.00127445256099541,0.0184774934076185
"105","XEC","Cimarex Energy",0.00126735757553885,0.0330786058178939
"88","HSIC","Henry Schein",0.00126678098001078,0.0132724915207303
"153","DTE","DTE Energy Co.",0.00125336122189034,0.0109347853793131
"452","FOX","Twenty-First Century Fox Class B",0.00124326926956321,0.0162121377019762
"294","MHFI","McGraw Hill Financial",0.00124060737388346,0.0189372911940297
"207","GGP","General Growth Properties Inc.",0.0012361475977643,0.0164268181681967
"239","IBM","International Bus. Machines",0.0012334089923748,0.0158495794918812
"131","CSX","CSX Corp.",0.00123211634289296,0.0198405300127151
"27","ALTR","Altera Corp",0.00122970568000368,0.00735290148033671
"356","PCG","PG&E Corp.",0.00121946213043604,0.0115981912560582
"68","BRK-B","Berkshire Hathaway",0.00120211996318294,0.0111985003325516
"343","OI","Owens-Illinois Inc",0.00119911847492701,0.0316025498453977
"413","SO","Southern Co.",0.00119714157554072,0.00932021812946379
"145","DISCA","Discovery Communications-A",0.00118905902699316,0.0216701152040836
"296","MJN","Mead Johnson",0.00118006675006802,0.0208927150511399
"106","CINF","Cincinnati Financial",0.00117872470259343,0.0123191435429294
"483","ANTM","Anthem Inc.",0.0011759125021188,0.0184345923923382
"373","PLD","Prologis",0.00117304966459039,0.0154862475682213
"176","EL","Estee Lauder Cos.",0.00117055453185883,0.0127990690981691
"372","PGR","Progressive Corp.",0.00116844227209938,0.0123117421852193
"485","HCN","Welltower Inc.",0.00116522795534474,0.0201996454077614
"150","DOV","Dover Corp.",0.00116100212706209,0.0180457284902157
"137","DVA","DaVita Inc.",0.00115752507194515,0.0129621100512611
"43","AON","Aon plc",0.00115573911644034,0.0121587895443723
"81","CA","CA, Inc.",0.00115430333858475,0.0145581537957773
"136","DRI","Darden Restaurants",0.00115315042237473,0.0149016134928902
"63","BXLT","Baxalta",0.00113929963353568,0.0205272550930172
"358","PSX","Phillips 66",0.0011351849276574,0.0189893721970931
"11","AET","Aetna Inc",0.00113113018644069,0.0178931590988248
"488","WY","Weyerhaeuser Corp.",0.00112189842142591,0.0190555352135801
"408","SPG","Simon Property Group Inc",0.00111050638321435,0.0120844360317205
"299","MRK","Merck & Co.",0.00110707487863604,0.0120403333389464
"292","MKC","McCormick & Co.",0.00109412090703208,0.0123614760550351
"156","DNB","Dun & Bradstreet",0.00109081001371122,0.0184141202772893
"121","CMA","Comerica Inc.",0.00109045712943821,0.0239365310566658
"468","VAR","Varian Medical Systems",0.00108625439781144,0.0129801953340225
"481","WM","Waste Management Inc.",0.00107701887238598,0.0098663693820894
"342","ORCL","Oracle Corp.",0.00107311665815104,0.01485788494397
"144","DFS","Discover Financial Services",0.00107140723202369,0.0193673225087196
"245","IVZ","Invesco Ltd.",0.0010691972058142,0.022425872281851
"183","FFIV","F5 Networks",0.00106429455318599,0.017100490982421
"217","HOG","Harley-Davidson",0.00105629821533417,0.0213214120367427
"441","TMO","Thermo Fisher Scientific",0.00105156855738895,0.0160404611729508
"414","LUV","Southwest Airlines",0.00104071043803483,0.0179690427896492
"108","CSCO","Cisco Systems",0.00103403198376444,0.0181991920793248
"189","FSLR","First Solar Inc",0.00103020529499536,0.030231913060357
"133","CVS","CVS Caremark Corp.",0.00102667405090604,0.0132853020528795
"170","EOG","EOG Resources",0.00102400797497949,0.0281420356702007
"5","ACE","ACE Limited",0.00102348099703471,0.0117020269224582
"4","ACN","Accenture plc",0.00102020317709354,0.0166314448240749
"277","L","Loews Corp.",0.00101650445597929,0.0134993362461544
"293","MCD","McDonald's Corp.",0.000995684753820319,0.010133163734311
"460","UPS","United Parcel Service",0.000986854967241697,0.0101862651806849
"445","TJX","TJX Companies Inc.",0.000975075750629281,0.0131691519267681
"40","APH","Amphenol Corp A",0.00095667098777713,0.0128905852250106
"271","LVLT","Level 3 Communications",0.000955848617056957,0.0224747416333874
"9","AAP","Advance Auto Parts",0.000949671588477669,0.0173299898226673
"149","D","Dominion Resources",0.000943395451632551,0.0106869495903255
"76","BSX","Boston Scientific",0.000937160137267751,0.0162260232028215
"279","LYB","LyondellBasell",0.000935222151089206,0.0224708250273453
"55","AVGO","Avago Technologies",0.000933954231858478,0.0230238702125775
"1","MMM","3M Company",0.000926162929500701,0.0130862764490632
"448","TSCO","Tractor Supply Company",0.000919035216743974,0.0159839273937543
"272","LUK","Leucadia National Corp.",0.000912986247148245,0.021824972510111
"334","NOC","Northrop Grumman Corp.",0.000906522465533797,0.0115432061480799
"275","LLTC","Linear Technology Corp.",0.000904317149953004,0.0144629501520596
"184","FB","Facebook",0.000902151520329442,0.0244945335048945
"120","CMCSA","Comcast A Corp",0.000901641908033631,0.0137964529284025
"338","ORLY","O'Reilly Automotive",0.000900235681290835,0.0160797867932737
"172","EFX","Equifax Inc.",0.000899174479059504,0.0161840202303181
"187","FIS","Fidelity National Information Services",0.000895669974418672,0.0151660537378897
"24","ALL","Allstate Corp",0.000893691415232261,0.0115782920413241
"59","BLL","Ball Corp",0.000885483111137765,0.0141085182898098
"45","AIV","Apartment Investment & Mgmt",0.000883524949950887,0.0156046294810843
"389","RSG","Republic Services Inc",0.000878497614654066,0.0108265775397195
"351","POM","Pepco Holdings Inc.",0.000870525537395346,0.0347630406228048
"243","INTU","Intuit Inc.",0.000870222150318249,0.0155588098992973
"390","RAI","Reynolds American Inc.",0.000853210766202578,0.013168390753552
"138","DE","Deere & Co.",0.000850350704405709,0.0169923086234378
"321","NWL","Newell Rubbermaid Co.",0.000849384922171788,0.020973262831761
"250","JCI","Johnson Controls",0.000847857985286702,0.01658663492104
"28","MO","Altria Group Inc",0.000844349236887455,0.0110550192869531
"260","KLAC","KLA-Tencor Corp.",0.000842169883209399,0.0112316863578413
"482","WAT","Waters Corporation",0.000807391234172348,0.013991917603446
"231","HPQ","HP Inc.",0.000794464789188001,0.0229445571572034
"52","ADP","Automatic Data Processing",0.000793371009850872,0.0120461775417513
"254","K","Kellogg Co.",0.000775950820266571,0.0105999189607243
"242","IFF","Intl Flavors & Fragrances",0.000745537491760683,0.0202931085970028
"423","SRCL","Stericycle Inc",0.000743373692991935,0.014231026005529
"118","CL","Colgate-Palmolive",0.000735991716926853,0.0119944844721433
"75","BXP","Boston Properties",0.000693126076187127,0.0149423638606901
"493","WYN","Wyndham Worldwide",0.000691627524199953,0.017031454584085
"247","JEC","Jacobs Engineering Group",0.000686464775798747,0.0169626824225105
"115","KO","The Coca Cola Company",0.000682370053626913,0.0104913962431472
"437","TXN","Texas Instruments",0.000681890950719456,0.0152697770152026
"267","LRCX","Lam Research",0.000674261451398893,0.0195321294166194
"411","SJM","Smucker (J.M.)",0.000673241322096531,0.0117210591632923
"220","HIG","Hartford Financial Svc.Gp.",0.00066958368372476,0.0167928394296631
"78","BRCM","Broadcom Corporation",0.000664401629089582,0.0134749101512271
"491","WMB","Williams Cos.",0.000652993496208695,0.0800642339199212
"276","LMT","Lockheed Martin Corp.",0.000650372591429309,0.00963912701114901
"241","IPG","Interpublic Group",0.000649770714411273,0.014281939062148
"129","CCI","Crown Castle International Corp.",0.000649402083229541,0.0130013504542196
"103","CB","Chubb Corp.",0.000644213727520891,0.0127083109026325
"461","URI","United Rentals, Inc.",0.000642277610044945,0.0358906006000729
"333","NTRS","Northern Trust Corp.",0.000640606724515693,0.0205230587501365
"312","MOS","The Mosaic Company",0.000639338811535628,0.0342813576918164
"208","GIS","General Mills",0.000627647750009101,0.0107087584113588
"151","DOW","Dow Chemical",0.000625737090179035,0.0168622992077502
"14","A","Agilent Technologies Inc",0.000624198367169885,0.0165861844075445
"191","FISV","Fiserv Inc",0.000623203577226854,0.0128802229483361
"56","AVB","AvalonBay Communities, Inc.",0.000619106448350818,0.013481238629158
"371","PG","Procter & Gamble",0.000615526928427797,0.0101402550886179
"66","BDX","Becton Dickinson",0.000609843669720771,0.0126643799201682
"86","COF","Capital One Financial",0.000601838263993358,0.0195907732939603
"148","DLTR","Dollar Tree",0.000596496869737382,0.0166730078834695
"116","CCE","Coca-Cola Enterprises",0.000596166867177348,0.0112019285226101
"395","ROST","Ross Stores",0.000591768570638478,0.0147567077435524
"332","NSC","Norfolk Southern Corp.",0.000589976861872003,0.0222990375143131
"369","PCLN","Priceline.com Inc",0.000587050914567879,0.0222294190838917
"180","EXPD","Expeditors Int'l",0.000583173950535771,0.0115709273809773
"352","PEP","PepsiCo Inc.",0.000579792730405709,0.00970189986305905
"306","TAP","Molson Coors Brewing Company",0.000579024488383677,0.0127024030627609
"39","AMGN","Amgen Inc",0.00057758967323101,0.0171335066111871
"77","BMY","Bristol-Myers Squibb",0.00057577583636787,0.0154844652571511
"346","PDCO","Patterson Companies",0.000570376358102524,0.0145688512590627
"355","PFE","Pfizer Inc.",0.000566473027586664,0.0127402534706497
"432","TE","TECO Energy",0.000556897940515817,0.00374488942843241
"265","LLL","L-3 Communications Holdings",0.000548366849732174,0.0114703871873765
"197","F","Ford Motor",0.000538399492819424,0.0187316746559185
"42","ADI","Analog Devices, Inc.",0.000537767449660795,0.0157143677579704
"376","PSA","Public Storage",0.000532975565743283,0.0148628540161403
"257","KMB","Kimberly-Clark",0.000526610480793434,0.0115792234364659
"455","USB","U.S. Bancorp",0.000506349184693868,0.0168666467742657
"165","EMC","EMC Corp.",0.000505526846875308,0.0105433198320405
"17","ARG","Airgas Inc",0.000503093217789705,0.0020538374893732
"466","VFC","V.F. Corp.",0.000500983857193291,0.017243340662931
"464","UNM","Unum Group",0.000498599170882181,0.0208841307811006
"475","V","Visa Inc.",0.000489774147005394,0.0171598674066412
"196","FTI","FMC Technologies Inc.",0.000488230400554251,0.0267622307568845
"298","MDT","Medtronic plc",0.000479703500753711,0.0131005180686603
"427","SYF","Synchrony Financial",0.000478826981141477,0.0186574657204061
"18","AKAM","Akamai Technologies Inc",0.000474637259205892,0.0315432816640789
"418","SWK","Stanley Black & Decker",0.000472698695140223,0.0147674107565161
"112","CME","CME Group Inc.",0.00046879556438915,0.0145734714089083
"15","GAS","AGL Resources Inc.",0.000466566249025794,0.00425363555831493
"227","HD","Home Depot",0.000464341622212211,0.0139022082358847
"161","ECL","Ecolab Inc.",0.000458467394025547,0.0182751460870927
"135","DHR","Danaher Corp.",0.000453736198792846,0.0107691000304957
"300","MET","MetLife Inc.",0.000448370832566909,0.0217695232696725
"310","MCO","Moody's Corp",0.000444302172072933,0.0182141044414883
"206","GE","General Electric",0.000442735742233968,0.0131269828945845
"213","GT","Goodyear Tire & Rubber",0.000431871146043256,0.0197934017617281
"58","BHI","Baker Hughes Inc",0.000412112232175434,0.0303364769328772
"305","MHK","Mohawk Industries",0.000411867393028529,0.0175618331638253
"61","BK","The Bank of New York Mellon Corp.",0.000407024956293164,0.01843227780527
"471","VRSK","Verisk Analytics",0.000397208882548907,0.0140464645565795
"174","EQR","Equity Residential",0.000386766024865847,0.0136356947910134
"7","ADBE","Adobe Systems Inc",0.000374401392989428,0.0196044877108585
"211","GILD","Gilead Sciences",0.000368401037136283,0.0176244947294517
"308","MON","Monsanto Co.",0.000363108117815587,0.0195808294823063
"94","CELG","Celgene Corp.",0.000351547387839875,0.0257412437867765
"388","RF","Regions Financial Corp.",0.000350824377269441,0.0242871500281883
"353","PKI","PerkinElmer",0.000338791630355919,0.0189876839774872
"350","PBCT","People's United Financial",0.0003265699824611,0.0157083419384402
"417","STJ","St Jude Medical",0.000325729765050753,0.0161718262497967
"117","CTSH","Cognizant Technology Solutions",0.000323889420542954,0.0199074047547023
"141","XRAY","Dentsply International",0.000320146857534816,0.0140675897697443
"425","STI","SunTrust Banks",0.000318415160717301,0.0223586322031205
"290","MA","Mastercard Inc.",0.000312402546166764,0.0164918589264229
"251","JPM","JPMorgan Chase & Co.",0.000302646600014855,0.0200659008490505
"266","LH","Laboratory Corp. of America Holding",0.000300499342229292,0.0146261606893158
"398","CRM","Salesforce.com",0.000298909799382812,0.0273029121369538
"218","HAR","Harman Int'l Industries",0.000292906796770328,0.030166142137673
"368","PCP","Precision Castparts",0.000285139363459016,0.00216375263155276
"123","COP","ConocoPhillips",0.000284720779341161,0.0358408244822419
"87","CAH","Cardinal Health Inc.",0.000274582773824102,0.0157250734838003
"134","DHI","D. R. Horton",0.000271041516053079,0.0220054406078053
"230","HST","Host Hotels & Resorts",0.000264744392625476,0.0225214032911664
"278","LOW","Lowe's Cos.",0.000263801139384585,0.0154159199451404
"70","BIIB","BIOGEN IDEC Inc.",0.000262519353789133,0.0225431674471654
"286","MAR","Marriott Int'l.",0.000252098130320067,0.0196181937746592
"54","AZO","AutoZone Inc",0.000239974251967303,0.0130861348647653
"393","COL","Rockwell Collins",0.000230903924314986,0.0149653464700469
"104","CI","CIGNA Corp.",0.00022826600002692,0.0164836097150594
"261","KSS","Kohl's Corp.",0.000224561330069797,0.0282289570546706
"374","PRU","Prudential Financial",0.000222060455037348,0.0227785208953803
"283","MNK","Mallinckrodt Plc",0.00022148381216767,0.037630052249438
"439","HSY","The Hershey Company",0.000217257629378743,0.0114470137533135
"281","MAC","Macerich",0.00021230569571096,0.0133117227121042
"384","RTN","Raytheon Co.",0.000208201106765559,0.0122116550841964
"399","SNDK","SanDisk Corporation",0.000190907477181551,0.018300524303797
"232","HUM","Humana Inc.",0.000176690623459595,0.0151754037847021
"255","KEY","KeyCorp",0.000161658735831235,0.0195605542284868
"435","TDC","Teradata Corp.",0.000139652096048551,0.0226274113348009
"446","TMK","Torchmark Corp.",0.000138283786479682,0.0150587960952084
"442","TIF","Tiffany & Co.",0.000128505400568246,0.0174059565448429
"440","TRV","The Travelers Companies Inc.",0.00012766625032783,0.0130248722700924
"370","PFG","Principal Financial Group",0.000117209159809079,0.0216106193580163
"2","ABT","Abbott Laboratories",0.000103130064550202,0.0171354116171126
"470","VRSN","Verisign Inc.",0.000102867386272484,0.0162390718189247
"205","GD","General Dynamics",0.000101475370006729,0.0128536527631288
"51","ADSK","Autodesk Inc",9.42805392674915e-05,0.0252949035786448
"280","MTB","M&T Bank Corp.",8.34241089424585e-05,0.0190712971186886
"216","HBI","Hanesbrands Inc",8.12144179442035e-05,0.026227709078913
"347","PAYX","Paychex Inc.",7.65501228053049e-05,0.0130789385804003
"107","CTAS","Cintas Corporation",5.03483112221298e-05,0.0124172153329594
"22","ALLE","Allegion",4.57339022776591e-05,0.0168645040474182
"49","AIZ","Assurant Inc",3.66014986260641e-05,0.0200169520354123
"325","NWS","News Corp. Class B",2.94664647448015e-05,0.0208975619454007
"307","MDLZ","Mondelez International",-2.26494929003836e-05,0.0191722003642287
"238","ICE","Intercontinental Exchange",-3.90687369911209e-05,0.0158319454794858
"74","BWA","BorgWarner",-5.61837230178856e-05,0.0255055661672788
"324","NWSA","News Corp. Class A",-5.90717341712771e-05,0.0216961474383372
"219","HRS","Harris Corporation",-6.44113671352578e-05,0.0173815161569676
"154","DD","Du Pont (E.I.)",-7.12061901663976e-05,0.0192384832731123
"476","VNO","Vornado Realty Trust",-7.41631627628478e-05,0.0147276850748753
"65","BBT","BB&T Corporation",-9.71971451309155e-05,0.0168251416017362
"270","LEN","Lennar Corp.",-9.82114276099732e-05,0.0196208066430798
"97","CERN","Cerner",-0.000109697805587707,0.0180229726061259
"497","XLNX","Xilinx Inc",-0.00013982805299213,0.0166571880160716
"431","TEL","TE Connectivity Ltd.",-0.00014055221080625,0.0156652837024392
"223","HCP","HCP Inc.",-0.000147183343789191,0.0261679548810284
"175","ESS","Essex Property Trust Inc",-0.000148769164192005,0.0152831387840252
"203","GPS","Gap (The)",-0.000150271890585837,0.0296867133706797
